=== steadystate: WORKLOAD=idle DURATION=15m0s INTERVAL=15s SCAVENGE_AFTER_STARTUP=false SCAVENGE_EVERY=0s QPS=0
=== GOGC="" GOMEMLIMIT="300MiB" GOMAXPROCS=4 NumCPU=4 go=go1.26.7
2026/08/28 19:59:27 Creating Terraform AWS Provider (SDKv2-style)...
2026/08/28 19:59:27 Initializing Terraform AWS Provider (SDKv2-style)...
2026/08/28 19:59:27 Creating Terraform AWS Provider (Framework-style)...
2026/08/28 19:59:27 Initializing Terraform AWS Provider (Framework-style)...
=== startup path complete in 27.105s: 1029 cluster resources, 1029 namespaced, 8488 scheme GVKs

startup+GC (t+27.134s)
   MemStats: HeapAlloc=51.6 HeapSys=299.6 HeapIdle=208.2 HeapInuse=91.3 HeapReleased=28.3 Sys=314.2 TotalAlloc=15558.0 NumGC=289
   RSS=957.6 MiB  PeakRSS(VmHWM)=959.6 MiB
   smaps: Rss: 978944 kB | Pss: 977523 kB | Private_Clean: 687452 kB | Private_Dirty: 289864 kB | Anonymous: 289864 kB
=== observation window: 15m0s, sampling every 15s, workload=idle
t        label                   Anon       Rss PrivDirty | HeapAlloc   HeapSys  HeapIdle HeapInuse   HeapRel       Sys  TotalAlloc  NumGC | reconciles
0s       -                      283.1     956.0     283.1 |      51.7     299.6     208.2      91.3      29.8     314.2     15558.1    289 |          0
15s      -                      163.3     836.2     163.3 |      51.7     299.6     208.2      91.3     149.6     314.2     15558.1    289 |          0
30s      -                      163.3     836.2     163.3 |      51.7     299.6     208.2      91.3     149.6     314.2     15558.1    289 |          0
45s      -                      163.3     836.2     163.3 |      51.7     299.6     208.2      91.3     149.6     314.2     15558.1    289 |          0
1m0s     -                      163.3     836.2     163.3 |      51.7     299.6     208.2      91.3     149.6     314.2     15558.1    289 |          0
1m15s    -                      163.3     836.2     163.3 |      51.7     299.6     208.2      91.3     149.6     314.2     15558.1    289 |          0
1m30s    -                      163.3     836.2     163.3 |      51.7     299.6     208.2      91.3     149.6     314.2     15558.1    289 |          0
1m45s    -                      163.3     836.2     163.3 |      51.7     299.6     208.2      91.4     149.6     314.2     15558.1    289 |          0
2m0s     -                      163.3     836.2     163.3 |      51.7     299.5     208.2      91.4     149.6     314.2     15558.1    289 |          0
2m15s    -                      157.3     830.2     157.3 |      51.5     299.6     208.4      91.2     155.6     314.2     15558.1    290 |          0
2m30s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.1    290 |          0
2m45s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.1    290 |          0
3m0s     -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.1    290 |          0
3m15s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.1    290 |          0
3m30s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.1    290 |          0
3m45s    -                      113.6     786.6     113.6 |      51.6     299.6     208.4      91.2     199.3     314.2     15558.1    290 |          0
4m0s     -                      113.6     786.6     113.6 |      51.6     299.6     208.4      91.2     199.3     314.2     15558.2    290 |          0
4m15s    -                      113.6     786.6     113.6 |      51.6     299.5     208.4      91.2     199.3     314.2     15558.2    290 |          0
4m30s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.2    291 |          0
4m45s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.2    291 |          0
5m0s     -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.2    291 |          0
5m15s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.2    291 |          0
5m30s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.2    291 |          0
5m45s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.2    291 |          0
6m0s     -                      113.6     786.6     113.6 |      51.6     299.6     208.4      91.2     199.3     314.2     15558.2    291 |          0
6m15s    -                      113.6     786.6     113.6 |      51.6     299.6     208.4      91.2     199.3     314.2     15558.2    291 |          0
6m30s    -                      113.6     786.6     113.6 |      51.6     299.5     208.4      91.2     199.3     314.2     15558.2    291 |          0
6m45s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.2    292 |          0
7m0s     -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.2    292 |          0
7m15s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.2    292 |          0
7m30s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.2    292 |          0
7m45s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.2    292 |          0
8m0s     -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.2    292 |          0
8m15s    -                      113.6     786.6     113.6 |      51.6     299.6     208.4      91.2     199.3     314.2     15558.3    292 |          0
8m30s    -                      113.6     786.6     113.6 |      51.6     299.6     208.4      91.2     199.3     314.2     15558.3    292 |          0
8m45s    -                      113.6     786.6     113.6 |      51.6     299.5     208.4      91.2     199.3     314.2     15558.3    292 |          0
9m0s     -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.3    293 |          0
9m15s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.3    293 |          0
9m30s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.3    293 |          0
9m45s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.3    293 |          0
10m0s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.3    293 |          0
10m15s   -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.3    293 |          0
10m30s   -                      113.6     786.6     113.6 |      51.6     299.6     208.4      91.2     199.3     314.2     15558.3    293 |          0
10m45s   -                      113.6     786.6     113.6 |      51.6     299.6     208.4      91.2     199.3     314.2     15558.3    293 |          0
11m0s    -                      113.6     786.6     113.6 |      51.6     299.5     208.4      91.2     199.3     314.2     15558.3    293 |          0
11m15s   -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.3    294 |          0
11m30s   -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.3    294 |          0
11m45s   -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.3    294 |          0
12m0s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.3    294 |          0
12m15s   -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.3    294 |          0
12m30s   -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.4    294 |          0
12m45s   -                      113.6     786.6     113.6 |      51.6     299.6     208.4      91.2     199.3     314.2     15558.4    294 |          0
13m0s    -                      113.6     786.6     113.6 |      51.6     299.6     208.4      91.2     199.3     314.2     15558.4    294 |          0
13m15s   -                      113.6     786.6     113.6 |      51.6     299.5     208.4      91.2     199.3     314.2     15558.4    294 |          0
13m30s   -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.4    295 |          0
13m45s   -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.4    295 |          0
14m0s    -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.4    295 |          0
14m15s   -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.4    295 |          0
14m30s   -                      113.6     786.6     113.6 |      51.5     299.6     208.4      91.2     199.3     314.2     15558.4    295 |          0
14m45s   -                      113.6     786.6     113.6 |      51.6     299.6     208.4      91.2     199.3     314.2     15558.4    295 |          0
15m0s    -                      113.6     786.6     113.6 |      51.6     299.6     208.4      91.2     199.3     314.2     15558.4    295 |          0
=== window done: 0 workload iterations in 15m0s
=== final debug.FreeOSMemory() took 22ms
15m0s    final-scavenge         104.7     777.6     104.7 |      51.5     299.6     208.4      91.2     208.2     314.2     15558.4    296 |          0
