=== steadystate: WORKLOAD=idle DURATION=15m0s INTERVAL=15s SCAVENGE_AFTER_STARTUP=false SCAVENGE_EVERY=0s QPS=0
=== GOGC="" GOMEMLIMIT="" GOMAXPROCS=4 NumCPU=4 go=go1.26.7
2026/08/28 19:44:02 Creating Terraform AWS Provider (SDKv2-style)...
2026/08/28 19:44:02 Initializing Terraform AWS Provider (SDKv2-style)...
2026/08/28 19:44:03 Creating Terraform AWS Provider (Framework-style)...
2026/08/28 19:44:03 Initializing Terraform AWS Provider (Framework-style)...
=== startup path complete in 24.068s: 1029 cluster resources, 1029 namespaced, 8488 scheme GVKs

startup+GC (t+24.098s)
   MemStats: HeapAlloc=51.6 HeapSys=375.6 HeapIdle=279.1 HeapInuse=96.4 HeapReleased=23.8 Sys=392.4 TotalAlloc=15547.2 NumGC=176
   RSS=1042.1 MiB  PeakRSS(VmHWM)=1049.7 MiB
   smaps: Rss: 1066196 kB | Pss: 1064775 kB | Private_Clean: 689448 kB | Private_Dirty: 375120 kB | Anonymous: 375120 kB
=== observation window: 15m0s, sampling every 15s, workload=idle
t        label                   Anon       Rss PrivDirty | HeapAlloc   HeapSys  HeapIdle HeapInuse   HeapRel       Sys  TotalAlloc  NumGC | reconciles
0s       -                      366.3    1041.2     366.3 |      51.7     375.6     279.1      96.5      24.7     392.4     15547.3    176 |          0
15s      -                      158.7     833.6     158.7 |      51.7     375.6     279.1      96.5     232.3     392.4     15547.3    176 |          0
30s      -                      158.7     833.6     158.7 |      51.7     375.6     279.1      96.5     232.3     392.4     15547.3    176 |          0
45s      -                      158.7     833.6     158.7 |      51.7     375.6     279.1      96.5     232.3     392.4     15547.3    176 |          0
1m0s     -                      158.7     833.6     158.7 |      51.7     375.6     279.1      96.5     232.3     392.4     15547.3    176 |          0
1m15s    -                      158.7     833.6     158.7 |      51.7     375.6     279.1      96.5     232.3     392.4     15547.3    176 |          0
1m30s    -                      158.7     833.6     158.7 |      51.7     375.6     279.1      96.5     232.3     392.4     15547.3    176 |          0
1m45s    -                      158.7     833.6     158.7 |      51.7     375.6     279.1      96.5     232.3     392.4     15547.3    176 |          0
2m0s     -                      158.7     833.6     158.7 |      51.7     375.5     279.0      96.5     232.3     392.4     15547.3    176 |          0
2m15s    -                      154.2     829.1     154.2 |      51.5     375.6     279.3      96.3     236.8     392.4     15547.3    177 |          0
2m30s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.3    177 |          0
2m45s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.3    177 |          0
3m0s     -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.3    177 |          0
3m15s    -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.3    177 |          0
3m30s    -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.4    177 |          0
3m45s    -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.4    177 |          0
4m0s     -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.4    177 |          0
4m15s    -                      121.3     796.2     121.3 |      51.6     375.5     279.2      96.3     269.7     392.4     15547.4    177 |          0
4m30s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.4    178 |          0
4m45s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.4    178 |          0
5m0s     -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.4    178 |          0
5m15s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.4    178 |          0
5m30s    -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.4    178 |          0
5m45s    -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.4    178 |          0
6m0s     -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.4    178 |          0
6m15s    -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.4    178 |          0
6m30s    -                      121.3     796.2     121.3 |      51.6     375.5     279.2      96.3     269.7     392.4     15547.4    178 |          0
6m45s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.4    179 |          0
7m0s     -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.4    179 |          0
7m15s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.4    179 |          0
7m30s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.4    179 |          0
7m45s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.5    179 |          0
8m0s     -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.5    179 |          0
8m15s    -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.5    179 |          0
8m30s    -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.5    179 |          0
8m45s    -                      121.3     796.2     121.3 |      51.6     375.5     279.2      96.3     269.7     392.4     15547.5    179 |          0
9m0s     -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.5    180 |          0
9m15s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.5    180 |          0
9m30s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.5    180 |          0
9m45s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.5    180 |          0
10m0s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.5    180 |          0
10m15s   -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.5    180 |          0
10m30s   -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.5    180 |          0
10m45s   -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.5    180 |          0
11m0s    -                      121.3     796.2     121.3 |      51.6     375.5     279.2      96.3     269.7     392.4     15547.5    180 |          0
11m15s   -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.5    181 |          0
11m30s   -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.5    181 |          0
11m45s   -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.5    181 |          0
12m0s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.6    181 |          0
12m15s   -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.6    181 |          0
12m30s   -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.6    181 |          0
12m45s   -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.6    181 |          0
13m0s    -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.6    181 |          0
13m15s   -                      121.3     796.2     121.3 |      51.6     375.5     279.2      96.3     269.7     392.4     15547.6    181 |          0
13m30s   -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.6    182 |          0
13m45s   -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.6    182 |          0
14m0s    -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.6    182 |          0
14m15s   -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.6    182 |          0
14m30s   -                      121.3     796.2     121.3 |      51.5     375.6     279.3      96.3     269.7     392.4     15547.6    182 |          0
14m45s   -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.6    182 |          0
15m0s    -                      121.3     796.2     121.3 |      51.6     375.6     279.3      96.3     269.7     392.4     15547.6    182 |          0
=== window done: 0 workload iterations in 15m0s
=== final debug.FreeOSMemory() took 22ms
15m0s    final-scavenge         111.9     786.8     111.9 |      51.5     375.6     279.3      96.3     279.1     392.4     15547.6    183 |          0
