=== steadystate: WORKLOAD=reconcile DURATION=10m0s INTERVAL=15s SCAVENGE_AFTER_STARTUP=true SCAVENGE_EVERY=0s QPS=0
=== GOGC="" GOMEMLIMIT="" GOMAXPROCS=4 NumCPU=4 go=go1.26.7
2026/08/28 21:22:49 Creating Terraform AWS Provider (SDKv2-style)...
2026/08/28 21:22:49 Initializing Terraform AWS Provider (SDKv2-style)...
2026/08/28 21:22:49 Creating Terraform AWS Provider (Framework-style)...
2026/08/28 21:22:49 Initializing Terraform AWS Provider (Framework-style)...
=== startup path complete in 32.515s: 1029 cluster resources, 1029 namespaced, 8488 scheme GVKs

startup+GC (t+32.627s)
   MemStats: HeapAlloc=51.7 HeapSys=439.6 HeapIdle=340.6 HeapInuse=99.0 HeapReleased=45.2 Sys=457.6 TotalAlloc=15552.5 NumGC=162
   RSS=1074.1 MiB  PeakRSS(VmHWM)=1092.6 MiB
   smaps: Rss: 1092600 kB | Pss: 1091103 kB | Private_Clean: 678000 kB | Private_Dirty: 412972 kB | Anonymous: 412972 kB
=== debug.FreeOSMemory() took 187ms

post-FreeOSMemory (t+32.824s)
   MemStats: HeapAlloc=51.5 HeapSys=439.6 HeapIdle=340.9 HeapInuse=98.7 HeapReleased=340.3 Sys=457.6 TotalAlloc=15552.5 NumGC=163
   RSS=779.0 MiB  PeakRSS(VmHWM)=1092.6 MiB
   smaps: Rss: 797720 kB | Pss: 796223 kB | Private_Clean: 678000 kB | Private_Dirty: 118092 kB | Anonymous: 118092 kB
=== workload: InstanceDiff probe ok (empty diff=false)
=== workload: 2 full probes, 5 schema-rebuild probes, diff step enabled=true
=== observation window: 10m0s, sampling every 15s, workload=reconcile
t        label                   Anon       Rss PrivDirty | HeapAlloc   HeapSys  HeapIdle HeapInuse   HeapRel       Sys  TotalAlloc  NumGC | reconciles
0s       -                      116.5     780.9     116.5 |      53.7     439.6     339.5     100.1     339.0     457.6     15554.7    163 |          0
15s      -                      159.0     829.3     159.0 |      64.2     439.6     332.6     106.9     297.3     458.3     20392.4    269 |       3296
30s      -                      154.2     824.6     154.2 |      92.2     439.6     314.5     125.1     302.3     458.3     25526.6    383 |       6795
45s      -                      153.0     823.5     153.0 |      60.2     439.6     333.8     105.8     303.6     458.3     30521.4    495 |      10198
1m0s     -                      166.9     837.5     166.9 |      77.6     439.6     325.5     114.1     289.8     458.6     35528.6    603 |      13610
1m15s    -                      160.3     831.1     160.3 |      99.5     439.5     308.1     131.5     296.5     458.6     39100.6    678 |      16044
1m30s    -                      162.3     833.2     162.3 |     101.7     439.6     306.1     133.4     294.5     458.6     42696.0    752 |      18494
1m45s    -                      159.3     830.2     159.3 |      79.8     439.6     322.8     116.8     297.6     458.6     46368.1    828 |      20997
2m0s     -                      157.5     828.4     157.5 |      78.8     439.6     321.6     118.0     299.4     458.6     50106.7    905 |      23544
2m15s    -                      166.0     837.0     166.0 |      54.1     439.6     337.1     102.4     290.9     458.6     53197.3    968 |      25650
2m30s    -                      162.1     833.2     162.1 |      64.7     439.6     333.5     106.1     294.9     458.6     56995.3   1046 |      28238
2m45s    -                      161.8     833.0     161.8 |      75.5     439.6     322.0     117.6     295.2     458.6     60447.0   1118 |      30590
3m0s     -                      151.4     822.6     151.4 |      72.3     439.6     329.3     110.3     305.6     458.6     64133.4   1194 |      33102
3m15s    -                      160.7     832.0     160.7 |      66.4     439.6     327.9     111.7     296.2     458.6     67807.8   1268 |      35606
3m30s    -                      170.2     841.4     170.2 |      67.1     439.6     331.2     108.4     286.8     458.6     71473.7   1342 |      38104
3m45s    -                      160.9     832.2     160.9 |      80.3     439.6     319.2     120.3     296.1     458.6     75084.3   1415 |      40565
4m0s     -                      159.0     830.3     159.0 |      88.4     439.6     312.9     126.7     298.0     458.6     78855.2   1494 |      43134
4m15s    -                      160.7     832.1     160.7 |      79.2     439.6     324.3     115.3     296.4     458.6     82661.9   1572 |      45728
4m30s    -                      157.0     828.4     157.0 |      63.4     439.5     328.1     111.4     300.1     458.6     86536.3   1653 |      48368
4m45s    -                      156.9     828.3     156.9 |      66.2     439.6     330.9     108.7     300.2     458.6     90228.4   1728 |      50884
5m0s     -                      156.6     827.9     156.6 |      70.3     439.6     328.8     110.8     300.4     458.6     93809.1   1801 |      53324
5m15s    -                      154.3     824.9     154.3 |      95.7     439.5     311.5     128.0     302.8     458.8     97492.5   1877 |      55834
5m30s    -                      157.1     827.7     157.1 |      84.0     439.5     317.1     122.5     300.0     458.8    101000.6   1952 |      58225
5m45s    -                      152.0     822.7     152.0 |      57.5     439.6     334.0     105.6     305.1     458.8    106306.5   2072 |      61840
6m0s     -                      148.5     819.1     148.5 |      86.1     439.6     320.0     119.6     308.7     459.1    112866.3   2224 |      66310
6m15s    -                      153.2     823.9     153.2 |      56.5     439.6     334.9     104.7     304.0     459.1    119038.8   2368 |      70516
6m30s    -                      152.7     823.3     152.7 |      80.3     439.6     324.4     115.1     304.5     459.1    124348.2   2487 |      74134
6m45s    -                      165.7     836.3     165.7 |      70.2     439.6     329.3     110.3     291.5     459.1    129352.6   2599 |      77544
7m0s     -                      154.6     825.4     154.6 |     101.6     439.6     306.4     133.1     302.5     459.1    134383.2   2710 |      80972
7m15s    -                      155.5     826.2     155.5 |     106.0     439.6     302.5     137.0     301.8     459.1    139443.2   2822 |      84420
7m30s    -                      155.7     826.4     155.7 |      61.3     439.6     331.1     108.4     301.5     459.1    144559.1   2938 |      87906
7m45s    -                      157.4     828.1     157.4 |      97.0     439.5     310.4     129.2     299.8     459.1    149795.1   3053 |      91474
8m0s     -                      157.0     827.8     157.0 |      53.7     439.6     337.4     102.2     300.2     459.1    154884.4   3168 |      94942
8m15s    -                      157.2     828.0     157.2 |      61.5     439.6     330.1     109.5     300.0     459.1    159971.0   3282 |      98408
8m30s    -                      156.2     826.9     156.2 |      96.8     439.6     310.7     128.9     301.0     459.1    165083.9   3396 |     101892
8m45s    -                      155.4     826.1     155.4 |      56.7     439.6     334.1     105.5     301.9     459.1    170252.5   3511 |     105414
9m0s     -                      163.0     833.7     163.0 |      70.6     439.6     330.5     109.1     294.2     459.1    175476.8   3625 |     108974
9m15s    -                      163.0     833.7     163.0 |      94.5     439.6     312.5     127.1     294.2     459.1    180721.8   3740 |     112548
9m30s    -                      152.3     823.0     152.3 |      95.8     439.6     311.4     128.1     304.9     459.1    185705.5   3850 |     115944
9m45s    -                      159.1     829.8     159.1 |      66.6     439.5     325.3     114.3     298.1     459.1    190792.1   3964 |     119410
10m0s    -                      159.3     830.0     159.3 |      89.8     439.6     316.6     122.9     297.9     459.1    195869.9   4076 |     122870
=== window done: 122870 workload iterations in 10m0s
=== final debug.FreeOSMemory() took 40ms
10m0s    final-scavenge         118.4     789.1     118.4 |      51.7     439.6     339.6     100.0     338.9     459.1    195869.9   4077 |     122870
