=== steadystate: WORKLOAD=reconcile DURATION=10m0s INTERVAL=15s SCAVENGE_AFTER_STARTUP=false SCAVENGE_EVERY=0s QPS=2
=== GOGC="" GOMEMLIMIT="300MiB" GOMAXPROCS=4 NumCPU=4 go=go1.26.7
2026/08/28 21:13:13 Creating Terraform AWS Provider (SDKv2-style)...
2026/08/28 21:13:13 Initializing Terraform AWS Provider (SDKv2-style)...
2026/08/28 21:13:14 Creating Terraform AWS Provider (Framework-style)...
2026/08/28 21:13:14 Initializing Terraform AWS Provider (Framework-style)...
=== startup path complete in 35.487s: 1029 cluster resources, 1029 namespaced, 8488 scheme GVKs

startup+GC (t+35.515s)
   MemStats: HeapAlloc=51.6 HeapSys=299.5 HeapIdle=207.2 HeapInuse=92.3 HeapReleased=29.0 Sys=314.5 TotalAlloc=15563.4 NumGC=277
   RSS=946.7 MiB  PeakRSS(VmHWM)=953.4 MiB
   smaps: Rss: 968552 kB | Pss: 522239 kB | Private_Clean: 8332 kB | Private_Dirty: 289912 kB | Anonymous: 289912 kB
=== workload: InstanceDiff probe ok (empty diff=false)
=== workload: 2 full probes, 5 schema-rebuild probes, diff step enabled=true
=== observation window: 10m0s, sampling every 15s, workload=reconcile
t        label                   Anon       Rss PrivDirty | HeapAlloc   HeapSys  HeapIdle HeapInuse   HeapRel       Sys  TotalAlloc  NumGC | reconciles
0s       -                      283.1     946.5     283.1 |      53.8     299.5     205.9      93.7      29.8     314.5     15565.6    277 |          0
15s      -                      141.3     807.3     141.3 |      64.2     299.6     202.3      97.3     171.7     314.5     15611.0    278 |         31
30s      -                      141.6     807.7     141.6 |      72.1     299.6     196.6     102.9     171.4     314.5     15655.0    279 |         61
45s      -                      143.1     809.1     143.1 |      76.8     299.6     192.7     106.9     170.0     314.8     15699.0    280 |         91
1m0s     -                      142.6     808.7     142.6 |      83.6     299.6     187.2     112.4     170.4     314.8     15743.1    281 |        121
1m15s    -                      150.0     816.1     150.0 |      80.1     299.6     189.9     109.6     163.0     314.8     15787.1    282 |        151
1m30s    -                      150.3     816.4     150.3 |      77.8     299.6     191.8     107.8     162.7     314.8     15831.1    283 |        181
1m45s    -                      150.5     816.6     150.5 |      74.2     299.6     194.9     104.7     162.6     314.8     15875.2    284 |        211
2m0s     -                      150.5     816.7     150.5 |      70.4     299.6     198.0     101.6     162.6     314.8     15919.2    285 |        241
2m15s    -                      150.5     816.8     150.5 |      68.2     299.6     199.7      99.8     162.6     314.8     15963.3    286 |        271
2m30s    -                      150.6     816.8     150.6 |      66.3     299.6     200.6      99.0     162.6     314.8     16007.3    287 |        301
2m45s    -                      148.7     815.0     148.7 |      62.3     299.6     203.1      96.5     164.4     314.8     16051.3    288 |        331
3m0s     -                      148.7     815.0     148.7 |      62.1     299.6     203.2      96.4     164.4     314.8     16095.4    289 |        361
3m15s    -                      148.7     815.0     148.7 |      60.3     299.6     204.0      95.5     164.4     314.8     16139.4    290 |        391
3m30s    -                      148.7     815.0     148.7 |      59.7     299.6     204.1      95.4     164.4     314.8     16183.5    291 |        421
3m45s    -                      148.7     815.0     148.7 |      57.2     299.6     204.8      94.8     164.4     314.8     16227.5    292 |        451
4m0s     -                      148.7     815.1     148.7 |      54.8     299.5     205.5      94.0     164.4     314.8     16271.5    293 |        481
4m15s    -                      148.7     815.1     148.7 |      98.8     299.5     173.5     126.0     164.4     314.8     16315.6    293 |        511
4m30s    -                      148.8     815.1     148.8 |      96.4     299.6     175.9     123.7     164.4     314.8     16359.6    294 |        541
4m45s    -                      148.8     815.2     148.8 |      93.3     299.6     178.7     120.8     164.4     314.8     16403.6    295 |        571
5m0s     -                      148.8     815.2     148.8 |      90.5     299.6     181.0     118.5     164.4     314.8     16447.7    296 |        601
5m15s    -                      148.8     815.2     148.8 |      87.5     299.6     183.7     115.8     164.4     315.0     16491.7    297 |        631
5m30s    -                      149.0     815.4     149.0 |      82.4     299.6     188.0     111.6     164.2     315.0     16535.7    298 |        661
5m45s    -                      150.4     816.8     150.4 |      76.9     299.6     192.4     107.2     162.9     315.0     16579.7    299 |        691
6m0s     -                      150.4     816.8     150.4 |      70.7     299.6     197.6     101.9     162.9     315.0     16623.8    300 |        721
6m15s    -                      150.4     816.9     150.4 |      65.3     299.6     201.4      98.1     162.9     315.0     16667.8    301 |        751
6m30s    -                      150.4     816.9     150.4 |      59.1     299.6     204.6      94.9     162.9     315.0     16711.8    302 |        781
6m45s    -                      150.4     817.1     150.4 |      53.4     299.6     205.6      94.0     162.9     315.0     16755.8    303 |        811
7m0s     -                      150.4     817.1     150.4 |      97.4     299.6     175.1     124.5     162.9     315.0     16799.8    303 |        841
7m15s    -                      150.4     817.1     150.4 |      91.4     299.6     180.4     119.2     162.9     315.0     16843.9    304 |        871
7m30s    -                      150.4     817.1     150.4 |      85.9     299.6     185.1     114.5     162.9     315.0     16887.9    305 |        901
7m45s    -                      150.4     817.1     150.4 |      80.1     299.6     189.9     109.7     162.9     315.0     16932.0    306 |        931
8m0s     -                      150.9     817.6     150.9 |      74.8     299.6     194.2     105.4     162.4     315.0     16976.0    307 |        961
8m15s    -                      150.9     817.6     150.9 |      71.1     299.6     197.3     102.2     162.4     315.0     17020.0    308 |        991
8m30s    -                      150.9     817.6     150.9 |      68.7     299.6     199.3     100.3     162.4     315.0     17064.0    309 |       1021
8m45s    -                      150.9     817.6     150.9 |      65.5     299.6     201.2      98.4     162.4     315.0     17108.1    310 |       1051
9m0s     -                      150.9     817.6     150.9 |      62.5     299.6     203.0      96.6     162.4     315.0     17152.1    311 |       1081
