=== steadystate: WORKLOAD=reconcile DURATION=10m0s INTERVAL=15s SCAVENGE_AFTER_STARTUP=false SCAVENGE_EVERY=0s QPS=2
=== GOGC="" GOMEMLIMIT="" GOMAXPROCS=4 NumCPU=4 go=go1.26.7
2026/08/28 21:13:13 Creating Terraform AWS Provider (SDKv2-style)...
2026/08/28 21:13:13 Initializing Terraform AWS Provider (SDKv2-style)...
2026/08/28 21:13:14 Creating Terraform AWS Provider (Framework-style)...
2026/08/28 21:13:14 Initializing Terraform AWS Provider (Framework-style)...
=== startup path complete in 31.714s: 1029 cluster resources, 1029 namespaced, 8488 scheme GVKs

startup+GC (t+31.759s)
   MemStats: HeapAlloc=51.6 HeapSys=399.5 HeapIdle=301.2 HeapInuse=98.4 HeapReleased=13.4 Sys=417.3 TotalAlloc=15574.8 NumGC=166
   RSS=1065.6 MiB  PeakRSS(VmHWM)=1072.3 MiB
   smaps: Rss: 1081556 kB | Pss: 635324 kB | Private_Clean: 9216 kB | Private_Dirty: 401996 kB | Anonymous: 401996 kB
=== workload: InstanceDiff probe ok (empty diff=false)
=== workload: 2 full probes, 5 schema-rebuild probes, diff step enabled=true
=== observation window: 10m0s, sampling every 15s, workload=reconcile
t        label                   Anon       Rss PrivDirty | HeapAlloc   HeapSys  HeapIdle HeapInuse   HeapRel       Sys  TotalAlloc  NumGC | reconciles
0s       -                      380.8    1045.2     380.8 |      53.8     399.5     299.8      99.7      34.5     417.3     15577.0    166 |          0
15s      -                      148.1     815.1     148.1 |      64.3     399.6     296.3     103.2     267.2     417.3     15622.4    167 |         31
30s      -                      150.4     817.3     150.4 |      72.4     399.6     291.3     108.2     265.1     417.3     15666.5    168 |         61
45s      -                      146.7     813.8     146.7 |      76.9     399.6     288.5     111.1     268.8     417.3     15710.5    169 |         91
1m0s     -                      146.5     813.6     146.5 |      84.8     399.6     282.0     117.6     269.0     417.3     15754.5    170 |        121
1m15s    -                      147.3     814.4     147.3 |      93.0     399.6     275.1     124.4     268.2     417.3     15798.6    171 |        151
1m30s    -                      149.3     816.4     149.3 |      95.3     399.5     272.9     126.7     266.2     417.3     15842.6    172 |        181
1m45s    -                      149.8     817.0     149.8 |      53.1     399.6     300.0      99.5     265.8     417.3     15886.7    174 |        211
2m0s     -                      150.4     817.6     150.4 |      53.4     399.6     299.6      99.9     265.2     417.3     15930.7    175 |        241
2m15s    -                      150.7     818.0     150.7 |      53.2     399.6     299.9      99.7     264.9     417.3     15974.7    176 |        271
2m30s    -                      151.0     818.2     151.0 |      53.1     399.6     299.9      99.6     264.6     417.3     16018.7    177 |        301
2m45s    -                      151.0     818.3     151.0 |      97.1     399.6     271.6     127.9     264.6     417.3     16062.7    177 |        331
3m0s     -                      154.4     821.7     154.4 |      92.1     399.5     275.7     123.9     261.1     417.3     16106.8    178 |        361
3m15s    -                      154.5     821.8     154.5 |      88.2     399.5     279.1     120.4     261.1     417.3     16150.8    179 |        391
3m30s    -                      155.4     822.7     155.4 |      83.6     399.5     283.1     116.5     260.2     417.3     16194.9    180 |        421
3m45s    -                      157.1     824.4     157.1 |      78.3     399.5     287.4     112.2     258.5     417.3     16238.9    181 |        451
4m0s     -                      157.1     824.5     157.1 |      74.4     399.5     290.5     109.1     258.5     417.3     16282.9    182 |        481
4m15s    -                      157.1     824.6     157.1 |      72.3     399.5     291.3     108.2     258.5     417.3     16327.0    183 |        511
4m30s    -                      157.1     824.7     157.1 |      68.7     399.5     293.5     106.0     258.5     417.3     16371.0    184 |        541
4m45s    -                      157.1     824.7     157.1 |      66.5     399.5     294.4     105.1     258.5     417.3     16415.0    185 |        571
5m0s     -                      157.1     824.7     157.1 |      63.1     399.5     296.3     103.2     258.5     417.3     16459.0    186 |        601
5m15s    -                      157.1     824.7     157.1 |      60.3     399.6     297.7     101.9     258.5     417.3     16503.1    187 |        631
5m30s    -                      157.1     824.7     157.1 |      56.9     399.6     298.9     100.7     258.5     417.3     16547.1    188 |        661
5m45s    -                      157.1     824.7     157.1 |      53.0     399.6     300.1      99.5     258.5     417.3     16591.1    189 |        691
6m0s     -                      157.1     824.7     157.1 |      97.0     399.6     271.7     127.8     258.5     417.3     16635.1    189 |        721
6m15s    -                      157.2     824.7     157.2 |      94.9     399.6     273.3     126.2     258.5     417.3     16679.2    190 |        751
6m30s    -                      157.2     824.8     157.2 |      91.5     399.6     276.4     123.2     258.5     417.3     16723.2    191 |        781
6m45s    -                      157.2     824.8     157.2 |      88.8     399.6     278.5     121.1     258.5     417.3     16767.3    192 |        811
7m0s     -                      157.2     824.8     157.2 |      84.7     399.6     282.1     117.4     258.5     417.3     16811.3    193 |        841
7m15s    -                      157.2     824.8     157.2 |      81.3     399.6     284.8     114.7     258.5     417.3     16855.3    194 |        871
7m30s    -                      157.2     824.8     157.2 |      78.5     399.6     287.3     112.2     258.5     417.3     16899.4    195 |        901
7m45s    -                      157.2     824.8     157.2 |      75.1     399.6     289.8     109.8     258.5     417.3     16943.4    196 |        931
8m0s     -                      156.7     824.2     156.7 |      70.6     399.6     292.7     106.9     259.1     417.3     16987.4    197 |        961
8m15s    -                      156.7     824.2     156.7 |      69.2     399.6     293.0     106.6     259.1     417.3     17031.4    198 |        991
8m30s    -                      156.7     824.2     156.7 |      64.7     399.6     296.0     103.6     259.1     417.3     17075.5    199 |       1021
8m45s    -                      156.7     824.3     156.7 |      63.1     399.6     296.4     103.2     259.1     417.3     17119.5    200 |       1051
9m0s     -                      156.7     824.3     156.7 |      59.1     399.6     298.7     100.9     259.1     417.3     17163.5    201 |       1081
