=== steadystate: WORKLOAD=reconcile DURATION=10m0s INTERVAL=15s SCAVENGE_AFTER_STARTUP=true SCAVENGE_EVERY=0s QPS=2
=== GOGC="" GOMEMLIMIT="300MiB" GOMAXPROCS=4 NumCPU=4 go=go1.26.7
2026/08/28 20:52:10 Creating Terraform AWS Provider (SDKv2-style)...
2026/08/28 20:52:10 Initializing Terraform AWS Provider (SDKv2-style)...
2026/08/28 20:52:10 Creating Terraform AWS Provider (Framework-style)...
2026/08/28 20:52:10 Initializing Terraform AWS Provider (Framework-style)...
=== startup path complete in 31.116s: 1029 cluster resources, 1029 namespaced, 8488 scheme GVKs

startup+GC (t+31.142s)
   MemStats: HeapAlloc=51.6 HeapSys=299.6 HeapIdle=208.2 HeapInuse=91.4 HeapReleased=29.8 Sys=314.8 TotalAlloc=15535.3 NumGC=286
   RSS=950.2 MiB  PeakRSS(VmHWM)=959.1 MiB
   smaps: Rss: 973000 kB | Pss: 637579 kB | Private_Clean: 13460 kB | Private_Dirty: 289992 kB | Anonymous: 289992 kB
=== debug.FreeOSMemory() took 41ms

post-FreeOSMemory (t+31.19s)
   MemStats: HeapAlloc=51.5 HeapSys=299.6 HeapIdle=208.4 HeapInuse=91.2 HeapReleased=208.3 Sys=314.8 TotalAlloc=15535.4 NumGC=287
   RSS=771.7 MiB  PeakRSS(VmHWM)=959.1 MiB
   smaps: Rss: 790236 kB | Pss: 454815 kB | Private_Clean: 13460 kB | Private_Dirty: 107228 kB | Anonymous: 107228 kB
=== workload: InstanceDiff probe ok (empty diff=false)
=== workload: 2 full probes, 5 schema-rebuild probes, diff step enabled=true
=== observation window: 10m0s, sampling every 15s, workload=reconcile
t        label                   Anon       Rss PrivDirty | HeapAlloc   HeapSys  HeapIdle HeapInuse   HeapRel       Sys  TotalAlloc  NumGC | reconciles
0s       -                      105.9     773.8     105.9 |      53.7     299.6     207.0      92.5     207.0     314.8     15537.5    287 |          0
15s      -                      127.3     797.6     127.3 |      64.0     299.6     203.8      95.8     185.6     314.8     15582.9    288 |         31
30s      -                      130.9     801.2     130.9 |      71.8     299.6     198.0     101.6     182.1     314.8     15627.0    289 |         61
45s      -                      133.3     803.7     133.3 |      74.7     299.6     195.6     104.0     179.7     314.8     15671.0    290 |         91
1m0s     -                      135.2     805.6     135.2 |      77.4     299.6     193.5     106.1     177.8     314.8     15715.1    291 |        121
1m15s    -                      136.1     806.5     136.1 |      77.9     299.6     193.0     106.6     177.0     314.8     15759.1    292 |        151
1m30s    -                      137.9     808.4     137.9 |      76.3     299.6     194.5     105.1     175.2     314.8     15803.1    293 |        181
1m45s    -                      138.0     808.5     138.0 |      74.3     299.6     196.0     103.6     175.2     314.8     15847.2    294 |        211
2m0s     -                      139.9     810.4     139.9 |      72.2     299.6     197.7     101.9     173.3     314.8     15891.2    295 |        241
2m15s    -                      140.8     811.3     140.8 |      68.3     299.6     200.9      98.7     172.4     314.8     15935.2    296 |        271
2m30s    -                      140.8     811.5     140.8 |      66.0     299.6     202.4      97.2     172.4     314.8     15979.3    297 |        301
2m45s    -                      140.8     811.5     140.8 |      65.8     299.6     202.4      97.2     172.4     314.8     16023.3    298 |        331
3m0s     -                      140.8     811.5     140.8 |      65.5     299.6     202.6      97.0     172.4     314.8     16067.3    299 |        361
3m15s    -                      140.8     811.5     140.8 |      65.1     299.6     202.9      96.7     172.4     314.8     16111.4    300 |        391
3m30s    -                      141.2     812.0     141.2 |      59.8     299.6     205.5      94.1     171.9     315.0     16155.4    301 |        421
3m45s    -                      141.3     812.0     141.3 |      55.5     299.6     206.9      92.7     171.9     315.0     16199.5    302 |        451
4m0s     -                      141.3     812.0     141.3 |      99.5     299.6     174.2     125.4     171.9     315.0     16243.5    302 |        481
4m15s    -                      141.5     812.2     141.5 |      94.2     299.6     179.1     120.5     171.7     315.0     16287.5    303 |        511
4m30s    -                      142.4     813.2     142.4 |      89.0     299.6     183.9     115.7     170.8     315.0     16331.6    304 |        541
4m45s    -                      143.0     813.7     143.0 |      83.6     299.6     188.3     111.3     170.3     315.0     16375.6    305 |        571
5m0s     -                      143.0     813.7     143.0 |      79.8     299.6     191.6     108.0     170.3     315.0     16419.6    306 |        601
5m15s    -                      143.0     813.7     143.0 |      78.7     299.6     192.4     107.2     170.3     315.0     16463.6    307 |        631
5m30s    -                      143.0     813.7     143.0 |      77.4     299.6     193.5     106.1     170.3     315.0     16507.7    308 |        661
5m45s    -                      143.0     813.7     143.0 |      76.3     299.6     194.4     105.2     170.3     315.0     16551.7    309 |        691
6m0s     -                      143.0     813.7     143.0 |      75.1     299.6     195.4     104.2     170.3     315.0     16595.7    310 |        721
6m15s    -                      143.0     813.8     143.0 |      69.9     299.6     199.8      99.8     170.3     315.0     16639.8    311 |        751
6m30s    -                      143.0     813.9     143.0 |      64.8     299.6     203.1      96.5     170.3     315.0     16683.8    312 |        781
6m45s    -                      143.0     813.9     143.0 |      59.2     299.6     205.8      93.8     170.3     315.0     16727.8    313 |        811
7m0s     -                      143.0     813.9     143.0 |      53.8     299.6     206.3      93.3     170.3     315.0     16771.9    314 |        841
7m15s    -                      143.0     813.9     143.0 |      97.8     299.6     175.7     123.9     170.3     315.0     16815.9    314 |        871
7m30s    -                      143.0     813.9     143.0 |      92.9     299.6     180.3     119.3     170.3     315.0     16859.9    315 |        901
7m45s    -                      143.0     813.9     143.0 |      89.1     299.6     183.5     116.1     170.3     315.0     16903.9    316 |        931
8m0s     -                      143.0     813.9     143.0 |      86.9     299.6     185.5     114.1     170.3     315.0     16948.0    317 |        961
8m15s    -                      143.1     813.9     143.1 |      83.6     299.6     188.3     111.3     170.3     315.0     16992.0    318 |        991
8m30s    -                      143.1     813.9     143.1 |      80.7     299.6     190.7     108.9     170.3     315.0     17036.0    319 |       1021
8m45s    -                      143.1     813.9     143.1 |      77.8     299.6     193.1     106.5     170.3     315.0     17080.0    320 |       1051
9m0s     -                      143.1     813.9     143.1 |      74.7     299.6     195.6     104.0     170.3     315.0     17124.1    321 |       1081
9m15s    -                      143.1     813.9     143.1 |      74.3     299.6     196.0     103.6     170.3     315.0     17168.1    322 |       1111
9m30s    -                      143.1     813.9     143.1 |      71.0     299.6     198.7     100.9     170.3     315.3     17212.1    323 |       1141
9m45s    -                      143.1     813.9     143.1 |      70.1     299.6     199.5     100.1     170.3     315.3     17256.2    324 |       1171
10m0s    -                      143.1     814.0     143.1 |      68.2     299.6     201.0      98.6     170.3     315.3     17300.2    325 |       1201
=== window done: 1201 workload iterations in 10m0s
=== final debug.FreeOSMemory() took 25ms
10m0s    final-scavenge         105.4     776.3     105.4 |      51.7     299.6     208.3      91.3     208.0     315.3     17300.2    326 |       1201
